06-07 14:41:50: Training starting...
06-07 14:41:51: Reward -10.428 at episode 0, saving model...
06-07 14:41:51: Reward 10.104 at episode 1, saving model...
06-07 14:41:51: Reward 10.285 at episode 6, saving model...
06-07 14:41:51: Reward 10.457 at episode 15, saving model...
06-07 14:41:51: Reward 10.509 at episode 21, saving model...
06-07 14:41:51: Reward 12.768 at episode 26, saving model...
06-07 14:41:52: Reward 13.712 at episode 62, saving model...
06-07 14:41:53: Reward 13.774 at episode 162, saving model...
06-07 14:41:55: Reward 13.850 at episode 337, saving model...
06-07 14:41:55: Reward 14.000 at episode 360, saving model...
06-07 14:42:02: Reward 14.437 at episode 888, saving model...
06-07 14:42:07: Reward 14.492 at episode 1327, saving model...
06-07 14:42:26: Reward 14.591 at episode 2871, saving model...
06-07 14:42:53: Reward 11.302 at episode 5000, saving model...
06-07 14:43:12: Reward 15.000 at episode 6523, saving model...
06-07 14:43:56: Reward -12.829 at episode 10000, saving model...
06-07 14:45:01: Reward 10.057 at episode 15000, saving model...
06-07 14:46:08: Reward -10.206 at episode 20000, saving model...
06-07 14:47:14: Reward 10.534 at episode 25000, saving model...
06-07 14:48:23: Reward -10.131 at episode 30000, saving model...
06-07 14:49:32: Reward -12.134 at episode 35000, saving model...
06-07 14:50:42: Reward 12.412 at episode 40000, saving model...
06-07 14:51:52: Reward -12.921 at episode 45000, saving model...
06-07 14:53:04: Reward 10.197 at episode 50000, saving model...
06-07 14:54:15: Reward 12.659 at episode 55000, saving model...
06-07 14:55:29: Reward 10.384 at episode 60000, saving model...
06-07 14:56:43: Reward -12.564 at episode 65000, saving model...
06-07 14:57:58: Reward -12.845 at episode 70000, saving model...
06-07 14:59:14: Reward -12.425 at episode 75000, saving model...
06-07 15:00:31: Reward -10.400 at episode 80000, saving model...
06-07 15:01:48: Reward 10.466 at episode 85000, saving model...
06-07 15:03:07: Reward 12.482 at episode 90000, saving model...
06-07 15:04:26: Reward -9.146 at episode 95000, saving model...
06-07 15:05:47: Reward -12.393 at episode 100000, saving model...
06-07 15:07:11: Reward -12.708 at episode 105000, saving model...
06-07 15:08:33: Reward -12.717 at episode 110000, saving model...
06-07 15:09:56: Reward -10.181 at episode 115000, saving model...
06-07 15:11:21: Reward -11.684 at episode 120000, saving model...
06-07 15:12:46: Reward -12.901 at episode 125000, saving model...
06-07 15:14:11: Reward 10.251 at episode 130000, saving model...
06-07 15:15:41: Reward 12.893 at episode 135000, saving model...
06-07 15:17:11: Reward -11.934 at episode 140000, saving model...
06-07 15:18:41: Reward 13.547 at episode 145000, saving model...
06-07 15:20:14: Reward -12.819 at episode 150000, saving model...
06-07 15:21:50: Reward 11.025 at episode 155000, saving model...
06-07 15:23:25: Reward 10.499 at episode 160000, saving model...
06-07 15:25:06: Reward -10.020 at episode 165000, saving model...
06-07 15:26:46: Reward -12.490 at episode 170000, saving model...
06-07 15:28:26: Reward 10.252 at episode 175000, saving model...
06-07 15:30:06: Reward -12.910 at episode 180000, saving model...
06-07 15:31:50: Reward 10.042 at episode 185000, saving model...
06-07 15:33:36: Reward 11.090 at episode 190000, saving model...
06-07 15:35:24: Reward -12.458 at episode 195000, saving model...
06-07 15:37:13: Reward -12.829 at episode 200000, saving model...
06-07 15:39:05: Reward 10.037 at episode 205000, saving model...
06-07 15:41:00: Reward 10.183 at episode 210000, saving model...
06-07 15:42:54: Reward 10.211 at episode 215000, saving model...
06-07 15:44:52: Reward 12.633 at episode 220000, saving model...
06-07 15:46:58: Reward 10.471 at episode 225000, saving model...
06-07 15:48:59: Reward -12.211 at episode 230000, saving model...
06-07 15:51:04: Reward -12.853 at episode 235000, saving model...
06-07 15:53:11: Reward -12.343 at episode 240000, saving model...
06-07 15:55:20: Reward -12.259 at episode 245000, saving model...
06-07 15:57:29: Reward -12.715 at episode 250000, saving model...
06-07 15:59:44: Reward 10.235 at episode 255000, saving model...
06-07 16:02:04: Reward 12.641 at episode 260000, saving model...
06-07 16:04:25: Reward -12.468 at episode 265000, saving model...
