AGAINST GREEDYBOT

06-03 08:31:18: Training starting...
06-03 08:31:19: Reward -12.523 at episode 0, saving model...
06-03 08:31:19: Reward -12.400 at episode 2, saving model...
06-03 08:31:19: Reward 12.308 at episode 3, saving model...
06-03 08:31:19: Reward 12.895 at episode 9, saving model...
06-03 08:31:19: Reward 13.004 at episode 27, saving model...
06-03 08:31:21: Reward 13.660 at episode 185, saving model...
06-03 08:31:25: Reward 13.897 at episode 466, saving model...
06-03 08:31:28: Reward 13.900 at episode 729, saving model...
06-03 08:31:38: Reward 14.395 at episode 1625, saving model...
06-03 08:31:55: Reward 14.794 at episode 3121, saving model...
06-03 08:32:17: Reward 13.690 at episode 5000, saving model...
06-03 08:33:16: Reward 12.643 at episode 10000, saving model...
06-03 08:33:32: Reward 15.000 at episode 11326, saving model...
06-03 08:34:17: Reward 10.178 at episode 15000, saving model...
06-03 08:35:18: Reward -12.942 at episode 20000, saving model...
06-03 08:36:21: Reward -12.692 at episode 25000, saving model...
06-03 08:37:24: Reward -11.959 at episode 30000, saving model...
06-03 08:38:28: Reward -10.234 at episode 35000, saving model...
06-03 08:39:33: Reward -12.279 at episode 40000, saving model...
06-03 08:40:38: Reward -10.520 at episode 45000, saving model...
06-03 08:41:44: Reward -10.123 at episode 50000, saving model...
06-03 08:42:50: Reward 10.378 at episode 55000, saving model...
06-03 08:43:56: Reward -12.707 at episode 60000, saving model...
06-03 08:45:06: Reward 12.357 at episode 65000, saving model...
06-03 08:46:14: Reward 10.438 at episode 70000, saving model...
06-03 08:47:23: Reward 12.559 at episode 75000, saving model...
06-03 08:48:34: Reward 10.273 at episode 80000, saving model...
06-03 08:49:44: Reward 10.353 at episode 85000, saving model...
06-03 08:50:57: Reward -13.000 at episode 90000, saving model...
06-03 08:52:11: Reward -13.000 at episode 95000, saving model...
06-03 08:53:24: Reward -12.752 at episode 100000, saving model...
06-03 08:54:38: Reward 10.122 at episode 105000, saving model...
06-03 08:55:53: Reward 10.172 at episode 110000, saving model...
06-03 08:57:09: Reward -12.885 at episode 115000, saving model...
06-03 08:58:28: Reward -10.299 at episode 120000, saving model...
06-03 08:59:45: Reward -12.947 at episode 125000, saving model...
06-03 09:01:05: Reward -12.779 at episode 130000, saving model...
06-03 09:02:25: Reward 12.502 at episode 135000, saving model...
06-03 09:03:46: Reward 10.130 at episode 140000, saving model...
06-03 09:05:07: Reward -12.411 at episode 145000, saving model...
06-03 09:06:31: Reward -12.391 at episode 150000, saving model...
06-03 09:07:55: Reward 10.160 at episode 155000, saving model...
06-03 09:09:19: Reward -12.715 at episode 160000, saving model...
06-03 09:10:47: Reward 10.011 at episode 165000, saving model...
06-03 09:12:15: Reward -12.668 at episode 170000, saving model...
06-03 09:13:46: Reward -10.010 at episode 175000, saving model...
06-03 09:15:16: Reward 12.798 at episode 180000, saving model...
06-03 09:16:50: Reward -10.362 at episode 185000, saving model...
06-03 09:18:25: Reward -10.396 at episode 190000, saving model...
06-03 09:20:00: Reward 10.167 at episode 195000, saving model...
06-03 09:21:36: Reward 12.688 at episode 200000, saving model...
06-03 09:23:13: Reward 10.100 at episode 205000, saving model...
06-03 09:24:53: Reward -10.195 at episode 210000, saving model...
06-03 09:26:33: Reward -12.599 at episode 215000, saving model...
06-03 09:28:17: Reward -13.000 at episode 220000, saving model...
06-03 09:30:05: Reward -12.894 at episode 225000, saving model...
06-03 09:31:50: Reward 10.049 at episode 230000, saving model...
06-03 09:33:42: Reward -12.527 at episode 235000, saving model...
06-03 09:35:31: Reward -12.338 at episode 240000, saving model...
06-03 09:37:27: Reward 11.186 at episode 245000, saving model...
06-03 09:39:23: Reward -12.925 at episode 250000, saving model...
06-03 09:41:22: Reward -11.677 at episode 255000, saving model...
06-03 09:43:24: Reward 12.676 at episode 260000, saving model...
06-03 09:45:31: Reward 12.749 at episode 265000, saving model...
06-03 09:47:36: Reward -12.449 at episode 270000, saving model...
06-03 09:49:48: Reward 12.787 at episode 275000, saving model...
06-03 09:52:00: Reward -12.518 at episode 280000, saving model...
06-03 09:54:12: Reward 10.019 at episode 285000, saving model...
06-03 09:56:33: Reward 10.074 at episode 290000, saving model...
06-03 09:58:53: Reward 10.253 at episode 295000, saving model...
