06-07 09:00:52: Training starting...
06-07 09:00:53: Reward -10.102 at episode 0, saving model...
06-07 09:00:53: Reward 10.398 at episode 3, saving model...
06-07 09:00:53: Reward 12.711 at episode 50, saving model...
06-07 09:00:54: Reward 13.321 at episode 128, saving model...
06-07 09:00:55: Reward 13.570 at episode 165, saving model...
06-07 09:00:57: Reward 13.572 at episode 317, saving model...
06-07 09:00:58: Reward 13.654 at episode 442, saving model...
06-07 09:01:01: Reward 13.772 at episode 704, saving model...
06-07 09:01:01: Reward 14.000 at episode 714, saving model...
06-07 09:01:10: Reward 14.484 at episode 1436, saving model...
06-07 09:01:21: Reward 14.730 at episode 2357, saving model...
06-07 09:01:55: Reward -12.207 at episode 5000, saving model...
06-07 09:02:58: Reward -12.817 at episode 10000, saving model...
06-07 09:03:38: Reward 14.822 at episode 13020, saving model...
06-07 09:04:04: Reward 10.329 at episode 15000, saving model...
06-07 09:05:08: Reward 15.000 at episode 19866, saving model...
06-07 09:05:10: Reward -10.045 at episode 20000, saving model...
06-07 09:06:17: Reward -11.985 at episode 25000, saving model...
06-07 09:07:24: Reward -12.488 at episode 30000, saving model...
06-07 09:08:35: Reward -10.323 at episode 35000, saving model...
06-07 09:09:44: Reward -10.222 at episode 40000, saving model...
06-07 09:10:53: Reward -12.681 at episode 45000, saving model...
06-07 09:12:05: Reward -12.318 at episode 50000, saving model...
06-07 09:13:16: Reward 10.103 at episode 55000, saving model...
06-07 09:14:29: Reward 12.745 at episode 60000, saving model...
06-07 09:15:43: Reward 10.598 at episode 65000, saving model...
06-07 09:16:56: Reward 10.543 at episode 70000, saving model...
06-07 09:18:12: Reward -12.455 at episode 75000, saving model...
06-07 09:19:28: Reward -10.328 at episode 80000, saving model...
06-07 09:20:45: Reward -12.959 at episode 85000, saving model...
06-07 09:22:02: Reward -12.528 at episode 90000, saving model...
06-07 09:23:21: Reward -12.314 at episode 95000, saving model...
06-07 09:24:40: Reward 12.848 at episode 100000, saving model...
06-07 09:26:02: Reward 13.462 at episode 105000, saving model...
06-07 09:27:23: Reward 10.303 at episode 110000, saving model...
06-07 09:28:46: Reward -11.781 at episode 115000, saving model...
06-07 09:30:11: Reward 10.507 at episode 120000, saving model...
06-07 09:31:38: Reward 11.136 at episode 125000, saving model...
06-07 09:33:03: Reward -12.776 at episode 130000, saving model...
06-07 09:34:30: Reward -11.172 at episode 135000, saving model...
06-07 09:35:59: Reward -12.392 at episode 140000, saving model...
06-07 09:37:27: Reward 10.314 at episode 145000, saving model...
06-07 09:38:57: Reward -12.626 at episode 150000, saving model...
06-07 09:40:29: Reward 10.509 at episode 155000, saving model...
06-07 09:42:01: Reward 12.468 at episode 160000, saving model...
06-07 09:43:37: Reward -12.849 at episode 165000, saving model...
06-07 09:45:13: Reward -12.758 at episode 170000, saving model...
06-07 09:46:56: Reward 10.571 at episode 175000, saving model...
06-07 09:48:37: Reward -10.179 at episode 180000, saving model...
06-07 09:50:21: Reward 10.136 at episode 185000, saving model...
06-07 09:52:05: Reward -8.223 at episode 190000, saving model...
06-07 09:53:50: Reward -12.758 at episode 195000, saving model...
06-07 09:55:41: Reward -12.793 at episode 200000, saving model...
06-07 09:57:30: Reward -12.266 at episode 205000, saving model...
06-07 09:59:23: Reward -12.776 at episode 210000, saving model...
06-07 10:01:18: Reward -10.309 at episode 215000, saving model...
06-07 10:03:15: Reward -10.280 at episode 220000, saving model...
06-07 10:05:15: Reward -12.514 at episode 225000, saving model...
06-07 10:07:15: Reward -10.457 at episode 230000, saving model...
06-07 10:09:16: Reward -10.242 at episode 235000, saving model...
06-07 10:11:24: Reward 10.223 at episode 240000, saving model...
06-07 10:13:35: Reward 12.600 at episode 245000, saving model...
06-07 10:15:47: Reward -10.547 at episode 250000, saving model...
06-07 10:18:04: Reward -10.070 at episode 255000, saving model...
06-07 10:20:18: Reward 10.375 at episode 260000, saving model...
06-07 10:22:41: Reward -9.405 at episode 265000, saving model...
06-07 10:25:05: Reward -10.264 at episode 270000, saving model...
06-07 10:27:33: Reward -10.386 at episode 275000, saving model...
06-07 10:30:02: Reward -10.408 at episode 280000, saving model...
06-07 10:32:38: Reward -13.000 at episode 285000, saving model...
06-07 10:35:19: Reward 10.375 at episode 290000, saving model...
06-07 10:37:59: Reward 10.125 at episode 295000, saving model...
06-07 10:40:48: Reward -12.489 at episode 300000, saving model...
06-07 10:43:41: Reward 10.244 at episode 305000, saving model...
06-07 10:46:41: Reward 11.478 at episode 310000, saving model...
06-07 10:49:45: Reward 10.466 at episode 315000, saving model...
06-07 10:52:53: Reward -10.232 at episode 320000, saving model...
06-07 10:56:02: Reward -12.752 at episode 325000, saving model...
06-07 10:59:22: Reward -11.799 at episode 330000, saving model...
06-07 11:02:46: Reward 10.169 at episode 335000, saving model...
06-07 11:06:23: Reward -11.620 at episode 340000, saving model...
06-07 11:10:20: Reward -12.363 at episode 345000, saving model...
06-07 11:14:13: Reward -10.034 at episode 350000, saving model...

Forgot to put hyperparameters and DQN architecture here...
